经度索引,纬度索引,count
57,42,8180
112,66,346
43,9,333
50,23,613
55,30,917
71,55,2622
101,2,524
105,11,243
52,43,6142
69,80,568
81,76,307
36,71,95
39,70,126
26,43,40
27,38,28
60,79,117
86,27,145
99,48,70
57,51,42
89,77,296
93,79,288
18,78,12
22,79,63
28,82,150
14,51,5
45,73,190
44,77,127
41,29,37
78,75,14
125,21,76
53,34,42
127,26,4
68,18,105
45,34,647
88,21,643
55,82,33
40,75,175
103,57,8
108,5,33
117,30,6
108,46,8
97,14,10
72,8,37
29,62,2606
35,78,9106
37,76,6659
51,64,8210
58,56,4278
64,76,17822
66,72,14083
67,38,141292
72,52,51169
73,35,4313841
74,23,24506
81,5,1284
81,29,2341
82,23,131
82,42,2269088
85,40,915342
91,36,7886
100,76,673
57,40,414
94,73,2703
103,79,2703
110,63,8923
87,22,688
121,9,3897
15,20,251
40,47,303
94,44,129
48,49,67
17,45,2
92,50,1815
58,35,536
48,42,1397
59,74,92
104,1,61
1,31,234
105,4,149
106,5,109
44,32,2048
33,26,767
34,23,450
1,1,64
121,32,62
121,18,105
25,66,10
109,58,119
119,38,94
65,1,62
19,20,13
47,25,11
127,31,5
105,1,1
48,35,23
78,80,17
61,66,2
23,11,5
100,7,3
49,71,3
104,35,2
14,17,2
100,48,34
34,78,29582
54,46,30144
72,54,13433
76,42,15756466
82,52,41715
90,39,69983
90,46,7475
100,61,5186
109,60,981
124,4,1449
124,5,1868
29,34,4767
36,39,2614
36,67,1751
40,33,625
59,54,4606
123,47,3458
37,43,939
43,18,725
102,67,168
23,6,13
27,65,1066
93,47,1259
86,67,124
15,9,7
28,57,914
105,55,285
27,37,4
69,8,32
52,56,138
112,65,61
57,77,82
67,76,673
75,77,53
102,16,220
5,5,176
110,51,101
42,11,116
41,46,57
10,9,16
106,7,5
76,67,4
25,27,12
97,58,28
41,10,16
41,75,3
127,20,21
33,47,52
44,78,8
31,2,12
32,56,7
93,10,13
120,30,96
90,20,3
39,40,8170
41,56,629
45,69,6280
57,41,8509
59,57,34934
62,16,2398
62,53,40878
63,35,109619
70,32,1867600
71,22,4356
71,38,3848697
71,66,26985
75,48,2626016
75,58,5050
76,20,3502
78,60,11718
78,61,274
81,22,20128
85,51,45207
86,44,264156
91,25,4215
95,30,132835
101,24,762
28,34,2662
53,32,3472
89,10,384
67,72,412
106,2,125
53,69,721
31,78,285
42,60,157
103,44,1021
32,32,43
96,52,496
114,80,12
31,34,16
107,9,33
36,72,121
5,35,264
107,4,50
98,31,999
10,28,24
109,45,92
93,50,157
120,33,253
126,55,44
53,68,9
120,18,8
7,8,15
70,14,11
80,0,1
87,77,45
88,7,2
121,60,3
